#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
1.35E-04,0.007
1.35E-04,0.006
1.35E-04,0.006
1.35E-04,0.005
1.36E-04,0.005
1.36E-04,0.005
1.36E-04,0.006
1.36E-04,0.005
1.36E-04,0.004
1.37E-04,0.005
1.37E-04,0.005
1.37E-04,0.005
1.37E-04,0.005
1.37E-04,0.003
1.38E-04,0.005
1.38E-04,0.004
1.38E-04,0.003
1.38E-04,0.004
1.38E-04,0.004
1.39E-04,0.004
1.39E-04,0.004
1.39E-04,0.003
1.39E-04,0.003
1.39E-04,0.004
1.40E-04,0.003
1.40E-04,0.003
1.40E-04,0.003
1.40E-04,0.003
1.40E-04,0.003
1.41E-04,0.003
1.41E-04,0.003
1.41E-04,0.003
1.41E-04,0.004
1.41E-04,0.003
1.42E-04,0.002
1.42E-04,0.001
1.42E-04,0.002
1.42E-04,0.002
1.42E-04,0.002
1.43E-04,0.003
1.43E-04,0.003
1.43E-04,0.003
1.43E-04,0.003
1.43E-04,0.003
1.44E-04,0.003
1.44E-04,0.003
1.44E-04,0.002
1.44E-04,0.003
1.44E-04,0.002
1.45E-04,0.003
1.45E-04,0.002
1.45E-04,0.002
1.45E-04,0.002
1.45E-04,0.002
1.46E-04,0.002
1.46E-04,0.001
1.46E-04,0.002
1.46E-04,0.002
1.46E-04,0.002
1.47E-04,0.002
1.47E-04,0.002
1.47E-04,0.002
1.47E-04,0.002
1.47E-04,0.002
1.48E-04,0.001
1.48E-04,0.002
1.48E-04,0.000
1.48E-04,0.000
1.48E-04,0.001
1.49E-04,0.001
1.49E-04,0.002
1.49E-04,0.003
1.49E-04,0.002
1.49E-04,0.002
1.50E-04,0.001
1.50E-04,0.001
1.50E-04,0.001
1.50E-04,0.001
1.50E-04,0.001
1.51E-04,0.001
1.51E-04,0.001
1.51E-04,0.000
1.51E-04,0.001
1.51E-04,-0.000
1.52E-04,-0.001
1.52E-04,-0.001
1.52E-04,-0.000
1.52E-04,0.000
1.52E-04,-0.000
1.53E-04,-0.001
1.53E-04,0.000
1.53E-04,0.000
1.53E-04,0.003
1.53E-04,0.000
1.54E-04,-0.001
1.54E-04,-0.001
1.54E-04,-0.000
1.54E-04,-0.000
1.54E-04,-0.001
1.55E-04,0.000
1.55E-04,-0.001
1.55E-04,-0.000
1.55E-04,0.001
1.55E-04,0.001
1.56E-04,0.001
1.56E-04,0.000
1.56E-04,0.000
1.56E-04,0.000
1.56E-04,-0.002
1.57E-04,-0.000
1.57E-04,0.000
1.57E-04,0.000
1.57E-04,0.001
1.57E-04,0.000
1.58E-04,0.000
1.58E-04,0.001
1.58E-04,0.000
1.58E-04,0.000
1.58E-04,0.001
1.59E-04,0.001
1.59E-04,0.000
1.59E-04,0.000
1.59E-04,0.000
1.59E-04,0.001
1.60E-04,0.001
1.60E-04,0.001
1.60E-04,0.001
1.60E-04,0.001
1.60E-04,0.001
1.61E-04,0.001
1.61E-04,0.001
1.61E-04,0.001
1.61E-04,0.002
1.61E-04,0.002
1.62E-04,0.002
1.62E-04,0.002
1.62E-04,0.002
1.62E-04,0.002
1.62E-04,0.003
1.63E-04,0.002
1.63E-04,0.002
1.63E-04,0.003
1.63E-04,0.002
1.63E-04,0.002
1.64E-04,0.004
1.64E-04,0.005
1.64E-04,0.005
1.64E-04,0.004
1.64E-04,0.003
1.65E-04,0.003
1.65E-04,0.002
1.65E-04,0.002
1.65E-04,0.002
1.65E-04,0.002
1.66E-04,-0.000
1.66E-04,0.002
1.66E-04,0.002
1.66E-04,0.003
1.66E-04,0.003
1.67E-04,0.002
1.67E-04,0.003
1.67E-04,0.005
1.67E-04,0.003
1.67E-04,0.002
1.68E-04,0.003
1.68E-04,0.002
1.68E-04,0.003
1.68E-04,0.003
1.68E-04,0.003
1.69E-04,0.003
1.69E-04,0.003
1.69E-04,0.003
1.69E-04,0.003
1.69E-04,0.002
1.70E-04,0.003
1.70E-04,0.002
1.70E-04,0.002
1.70E-04,0.002
1.70E-04,0.002
1.71E-04,0.002
1.71E-04,0.002
1.71E-04,0.001
1.71E-04,-0.001
1.71E-04,-0.001
1.72E-04,0.000
1.72E-04,0.002
1.72E-04,0.002
1.72E-04,0.001
1.72E-04,0.002
1.73E-04,0.003
1.73E-04,0.003
1.73E-04,0.002
1.73E-04,0.002
1.73E-04,0.002
1.74E-04,0.001
1.74E-04,0.002
1.74E-04,0.002
1.74E-04,0.002
1.74E-04,0.002
1.75E-04,0.002
1.75E-04,0.002
1.75E-04,0.003
1.75E-04,0.003
1.75E-04,0.002
1.76E-04,0.002
1.76E-04,0.003
1.76E-04,0.003
1.76E-04,0.003
1.76E-04,0.003
1.77E-04,0.003
1.77E-04,0.003
1.77E-04,0.003
1.77E-04,0.004
